TO,FROM,REASON,SERVER,DATE,CHANNEL,,,,,,,
@rdfbbx#6437,metaverde,for installing the bot! ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@Vyvy-vi#5040,metaverde,for helping with the server so much and volunteering to stay on. ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@Juankbell#7458,metaverde,for volunteering to take ownership. Lmk when you're ready. ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@Tam2140#9361,metaverde,for leading meetings while also moving with children. ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@JessicaZartler#2263,metaverde,for being generous in turning over Discord duties. ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@metaverde#2503,rdfbbx,for fixing praise link ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@Vyvy-vi#5040,rdfbbx,for fixing praise link ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,for fixing praise link ,Token Engineering Commons,Feb-20-2021,🙌🏿praise,,,,,,,
@PaulaBerman#9915,Dan Knobelsdorf.eth,for her work on distributed governance & Sybil-resistant identity. ,Commons Stack,Feb-21-2021,praise,,,,,,,
@Vitor Marthendal#0090,ygg_anderson,for getting continuous integration working with the hatch params! ,Commons Stack,Feb-21-2021,praise,,,,,,,
@karmaticacid#1218,danibelle,"for diving straight into the CS Simulator, cleaning up the narrative, making and closing issues like a boss! ",Commons Stack,Feb-22-2021,praise,,,,,,,
@cyprien#1812,JessicaZartler,to for all of his work on the TE book and other wizarding work in the TE ecosystem! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@ygg_anderson#4998,Kris,for bearing with me in giving them the praise giver role so they can dish their own praise in Discord! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@danibelle#7158,Kris,for bearing with me in giving them the praise giver role so they can dish their own praise in Discord! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@Ata#4155,JeffEmmett,for his great work analyzing and documenting case studies in the Commons Stack/TEC ,Commons Stack,Feb-22-2021,praise,,,,,,,
@Ata#4155,JeffEmmett,for their great work analyzing and documenting case studies in the Commons Stack/TEC! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@liviade#1387,JeffEmmett,for their great work analyzing and documenting case studies in the Commons Stack/TEC! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@JeffEmmett#7202,JessicaZartler,for all his work on the CS notion and organizing our library 😄 ,Commons Stack,Feb-22-2021,praise,,,,,,,
@Kris#8703,JessicaZartler,for all the massive work on Discord! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@Dan Knobelsdorf.eth#0326,JessicaZartler,to for all his work minting CSTK and organizing everything for the Trusted Seed! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@Gus#1951,Dan Knobelsdorf.eth,for his awesome work curating and taking forward DAO.Education! Way to catalyse decentralisation across LATAM and Spain! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@Jsimbouras#2339,JeffEmmett,for their endless support of cadCAD Community Calls 🙏 ,Commons Stack,Feb-22-2021,praise,,,,,,,
@jameszaki#0232,JeffEmmett,for their endless support of cadCAD Community Calls 🙏 ,Commons Stack,Feb-22-2021,praise,,,,,,,
@BenScholtz#3339,griff,"for his tireless work building the new economic paradigm for us all to share.... he does so much awesome magic behind the scenes... from his little side gigs, maintaining the awesome-bonding github repo for info on bonding curves... to choosing to dedicate his incredible dev powers to such important projects like Molecule, Protea, and Grassroots Economics. I cannot dish enough praise to this man. ",Commons Stack,Feb-22-2021,praise,,,,,,,
@JessicaZartler#2263,danibelle,for being all over the social media distribution of CS and TEC information into all the nooks and channels! ,Commons Stack,Feb-22-2021,praise,,,,,,,
@iviangita#3204,Tam2140,for testing praise with me. ,Commons Stack,Feb-23-2021,praise-testing,,,,,,,
@geleeroyale#3228,Vyvy-vi,for setting up discord bridges ,Token Engineering Commons,Feb-23-2021,🙌🏿praise,,,,,,,
@Juankbell#7458,metaverde,for taking server ownership. ,Token Engineering Commons,Feb-23-2021,🙌🏿praise,,,,,,,
@geleeroyale#3228,metaverde,for setting up the bridges. ,Token Engineering Commons,Feb-24-2021,🙌🏿praise,,,,,,,
@Vyvy-vi#5040,metaverde,for working on Discord. ,Token Engineering Commons,Feb-24-2021,🙌🏿praise,,,,,,,
@geleeroyale#3228,metaverde,for setting up bridges. ,Token Engineering Commons,Feb-24-2021,🙌🏿praise,,,,,,,
@markop#2007,Vyvy-vi,for Working Group Logos ,Token Engineering Commons,Feb-24-2021,🙌🏿praise,,,,,,,
@Vyvy-vi#5040,Juankbell,for helping hacking this server 😄 ,Token Engineering Commons,Feb-24-2021,🙌🏿praise,,,,,,,
@griff#3281,Juankbell,for all his help in small and big tasks ,Token Engineering Commons,Feb-24-2021,🙌🏿praise,,,,,,,
@Boring877#1378,JeffEmmett,for his time and attention to detail in recording & posting videos on the Luna Swarm & Gitcoin cadCAD model research collabs 🙏 ,Commons Stack,Feb-24-2021,praise,,,,,,,
@ChrisCyphert#4148,JeffEmmett,for his help setting up the cadCAD discord and bridging channels to slack & telegram as needed ,Commons Stack,Feb-24-2021,praise,,,,,,,
